,lon,lat,wind_cf,geometry,index_right,OBJECTID,PCA_REG,Shape_Leng,Shape_Area,PCA_Code,RTO_Code,region
253,-78.51803000000001,35.38968,0.288348105,POINT (-78.51803000000001 35.38968),97,98,98,58.6261331391,7.61525657199,p98,rto15,SERC
254,-78.24367,39.985294,0.312892188,POINT (-78.24366999999999 39.985294),121,122,122,27.0191216796,9.37346232775,p122,rto12,PJM
255,-78.24367,39.985294,0.312892188,POINT (-78.24366999999999 39.985294),121,122,122,27.0191216796,9.37346232775,p122,rto12,PJM
258,-77.132286,40.230156,0.24628390600000002,POINT (-77.13228599999999 40.230156),121,122,122,27.0191216796,9.37346232775,p122,rto12,PJM
259,-77.130844,40.227894,0.24628390600000002,POINT (-77.130844 40.227894),121,122,122,27.0191216796,9.37346232775,p122,rto12,PJM
260,-77.130844,40.227894,0.24628390600000002,POINT (-77.130844 40.227894),121,122,122,27.0191216796,9.37346232775,p122,rto12,PJM
264,-76.52624,40.424263,0.22495855399999998,POINT (-76.52624 40.424263),121,122,122,27.0191216796,9.37346232775,p122,rto12,PJM
266,-76.01384,41.045242,0.304992239,POINT (-76.01384 41.045242),121,122,122,27.0191216796,9.37346232775,p122,rto12,PJM
261,-76.93966,39.02243,0.252641675,POINT (-76.93966 39.02243),122,123,123,61.5971946989,2.1099466838,p123,rto12,PJM
262,-76.67911,39.250183,0.24649038,POINT (-76.67910999999999 39.250183),122,123,123,61.5971946989,2.1099466838,p123,rto12,PJM
263,-76.67911,39.250183,0.24649038,POINT (-76.67910999999999 39.250183),122,123,123,61.5971946989,2.1099466838,p123,rto12,PJM
267,-75.10209,39.874496,0.27279292899999996,POINT (-75.10209 39.874496),125,126,126,19.833498445,2.06708443843,p126,rto12,PJM
268,-75.10209,39.874496,0.27279292899999996,POINT (-75.10209 39.874496),125,126,126,19.833498445,2.06708443843,p126,rto12,PJM
269,-74.64498,40.642536,0.242138391,POINT (-74.64498 40.642536),125,126,126,19.833498445,2.06708443843,p126,rto12,PJM
270,-74.64498,40.642536,0.242138391,POINT (-74.64498 40.642536),125,126,126,19.833498445,2.06708443843,p126,rto12,PJM
271,-74.41677,40.864075,0.26466378,POINT (-74.41677 40.864075),125,126,126,19.833498445,2.06708443843,p126,rto12,PJM
272,-74.41677,40.864075,0.26466378,POINT (-74.41677 40.864075),125,126,126,19.833498445,2.06708443843,p126,rto12,PJM
273,-74.33666,40.528244,0.279381283,POINT (-74.33665999999999 40.528244),125,126,126,19.833498445,2.06708443843,p126,rto12,PJM
274,-74.33666,40.528244,0.279381283,POINT (-74.33665999999999 40.528244),125,126,126,19.833498445,2.06708443843,p126,rto12,PJM
279,-72.05736,42.130234,0.312295889,POINT (-72.05736 42.130234),130,131,131,27.6909097114,2.29404309174,p131,rto18,ISONE
280,-71.56408,42.26703,0.318570822,POINT (-71.56408 42.26703),130,131,131,27.6909097114,2.29404309174,p131,rto18,ISONE
281,-70.89149,42.86564,0.32880211800000003,POINT (-70.89149 42.86564),130,131,131,27.6909097114,2.29404309174,p131,rto18,ISONE
282,-70.32676,43.67716,0.307709984,POINT (-70.32675999999999 43.67716),133,134,134,50.4936128439,9.66203592606,p134,rto18,ISONE
