,Plant Name,UniqueID_Final,ORIS Plant Code,Boiler/Generator/Committed Unit,Unit ID,CAMD Database UnitID,PlantType,Combustion Turbine/IC Engine,Region Name,State Name,State Code,County,County Code,FIPS5,Capacity (MW),Heat Rate (Btu/kWh),On Line Year,Retirement Year,Firing,Bottom,Cogen?,Modeled Fuels,Wet/DryScrubber,Scrubber_Online_Year,Scrubber Efficiency,NOx Comb Control,NOx Post-Comb Control,SCR_Online_Year,SNCR_Online_Year,PM Control,FlueGasConditioning_Flag,Mercury_Controls,ACI_Online_Year,Mercury_Controls Efficiency,SO2 Permit Rate (lbs/mmBtu),Mode 1 NOx Rate (lbs/mmBtu),Mode 2 NOx Rate (lbs/mmBtu),Mode 3 NOx Rate  (lbs/mmBtu),Mode 4 NOx Rate  (lbs/mmBtu),Hg EMF for BIT,Hg EMF for SUB,Hg EMF for LIG,HCL Removal,DSI Unit,DSI Online Year,CCS,CCS Removal,C2G,C2G Online Year,BART Affected Unit,FuelType,Plant Code_x,Latitude,Longitude,Plant Code_y,Nameplate Energy Capacity (MWh),Maximum Charge Rate (MW),Maximum Discharge Rate (MW),Efficiency,Minimum Energy Capacity (MWh),FuelPrice($/MMBtu),CO2EmRate(lb/MMBtu),MinDownTime(hrs),RampRate(MW/hr),StartCost($),MinLoad(MWh),RandOpCostAdder($/MWh),FOM(2012$/MW/yr),VOM(2012$/MWh),OpCost($/MWh),RegOfferElig,RegOfferCost($/MW),FlexOfferElig,ContOfferElig,YearAddedCE,Retired,YearRetiredByCE,YearRetiredByAge,GAMS Symbol,DataSource,ATBTechnologyType,ThermalOrRenewableOrStorage,CAPEX(2012$/MW),NSPSCompliant,NOxEmRate(lb/MMBtu),SO2EmRate(lb/MMBtu),Lifetime(years),SO2 Scrubber,CoalType,ECAPEX(2012$/MWH),PlantCategory
153,Midlothian Energy Facility,55091_G_STK1,55091,G,STK1,3873.0,Combined Cycle,,ERC_REST,Texas,48.0,Ellis,139.0,48139.0,249.0,7715.0,2000.0,9999,,,N,Natural Gas,,,,DLNB + H2O,SCR,,,,,,,,,0.01496,0.01496,0.01496,0.01496,,,,,,,,,,,,Natural Gas,55091.0,32.4302,-97.0537,,,,,,,3.419101677638398,117.0,4.0,79.182,25420.364606491774,99.60000000000001,0.0,13170.0,3.5999999999999996,29.978369442980238,1,0.0,1,1,0,False,False,False,55091+STK1,,,,,,,,,,,,
154,Midlothian Energy Facility,55091_G_STK2,55091,G,STK2,3874.0,Combined Cycle,,ERC_REST,Texas,48.0,Ellis,139.0,48139.0,249.0,7711.0,2000.0,9999,,,N,Natural Gas,,,,DLNB + H2O,SCR,,,,,,,,,0.0143,0.0143,0.0143,0.0143,,,,,,,,,,,,Natural Gas,55091.0,32.4302,-97.0537,,,,,,,3.419101677638398,117.0,4.0,79.182,25420.364606491774,99.60000000000001,0.0,13170.0,3.5999999999999996,29.964693036269686,1,0.0,1,1,0,False,False,False,55091+STK2,,,,,,,,,,,,
155,Midlothian Energy Facility,55091_G_STK3,55091,G,STK3,3875.0,Combined Cycle,,ERC_REST,Texas,48.0,Ellis,139.0,48139.0,240.0,7727.0,2000.0,9999,,,N,Natural Gas,,,,DLNB + H2O,SCR,,,,,,,,,0.0138,0.0138,0.0138,0.0138,,,,,,,,,,,,Natural Gas,55091.0,32.4302,-97.0537,,,,,,,3.419101677638398,117.0,4.0,76.32000000000001,24501.556247220986,96.0,0.0,13170.0,3.5999999999999996,30.0193986631119,1,0.0,1,1,0,False,False,False,55091+STK3,,,,,,,,,,,,
156,Midlothian Energy Facility,55091_G_STK4,55091,G,STK4,3876.0,Combined Cycle,,ERC_REST,Texas,48.0,Ellis,139.0,48139.0,246.0,7716.0,2000.0,9999,,,N,Natural Gas,,,,DLNB,SCR,,,,,,,,,0.01355,0.01355,0.01355,0.01355,,,,,,,,,,,,Natural Gas,55091.0,32.4302,-97.0537,,,,,,,3.419101677638398,117.0,4.0,78.228,25114.09515340151,98.4,0.0,13170.0,3.5999999999999996,29.981788544657874,1,0.0,1,1,0,False,False,False,55091+STK4,,,,,,,,,,,,
157,Midlothian Energy Facility,55091_G_STK5,55091,G,STK5,3877.0,Combined Cycle,,ERC_REST,Texas,48.0,Ellis,139.0,48139.0,247.0,7716.0,2001.0,9999,,,N,Natural Gas,,,,DLNB,SCR,,,,,,,,,0.01369,0.01369,0.01369,0.01369,,,,,,,,,,,,Natural Gas,55091.0,32.4302,-97.0537,,,,,,,3.419101677638398,117.0,4.0,78.546,25216.184971098264,98.80000000000001,0.0,13170.0,3.5999999999999996,29.981788544657874,1,0.0,1,1,0,False,False,False,55091+STK5,,,,,,,,,,,,
158,Midlothian Energy Facility,55091_G_STK6,55091,G,STK6,3878.0,Combined Cycle,,ERC_REST,Texas,48.0,Ellis,139.0,48139.0,252.0,7703.0,2001.0,9999,,,N,Natural Gas,,,,DLNB,SCR,,,,,,,,,0.01359,0.01359,0.01359,0.01359,,,,,,,,,,,,Natural Gas,55091.0,32.4302,-97.0537,,,,,,,3.419101677638398,117.0,4.0,80.136,25726.634059582037,100.80000000000001,0.0,13170.0,3.5999999999999996,29.937340222848576,1,0.0,1,1,0,False,False,False,55091+STK6,,,,,,,,,,,,
159,Lamar Power Project,55097_G_CTG1,55097,G,CTG1,3879.0,Combined Cycle,,ERC_REST,Texas,48.0,Lamar,277.0,48277.0,150.2,7466.0,2000.0,9999,,,N,Natural Gas,,,,DLNB,,,,,,,,,,0.03437,0.03437,0.03437,0.03437,,,,,,,,,,,,Natural Gas,55097.0,33.6308,-95.59,,,,,,,3.419101677638398,117.0,4.0,47.7636,15333.890618052465,60.08,0.0,13170.0,3.5999999999999996,29.127013125248276,1,0.0,1,1,0,False,False,False,55097+CTG1,,,,,,,,,,,,
160,Lamar Power Project,55097_G_CTG2,55097,G,CTG2,3880.0,Combined Cycle,,ERC_REST,Texas,48.0,Lamar,277.0,48277.0,150.2,7466.0,2000.0,9999,,,N,Natural Gas,,,,DLNB,,,,,,,,,,0.03437,0.03437,0.03437,0.03437,,,,,,,,,,,,Natural Gas,55097.0,33.6308,-95.59,,,,,,,3.419101677638398,117.0,4.0,47.7636,15333.890618052465,60.08,0.0,13170.0,3.5999999999999996,29.127013125248276,1,0.0,1,1,0,False,False,False,55097+CTG2,,,,,,,,,,,,
161,Lamar Power Project,55097_G_CTG3,55097,G,CTG3,3881.0,Combined Cycle,,ERC_REST,Texas,48.0,Lamar,277.0,48277.0,158.2,7466.0,2000.0,9999,,,N,Natural Gas,,,,DLNB,,,,,,,,,,0.03225,0.03225,0.03225,0.03225,,,,,,,,,,,,Natural Gas,55097.0,33.6308,-95.59,,,,,,,3.419101677638398,117.0,4.0,50.307599999999994,16150.609159626498,63.28,0.0,13170.0,3.5999999999999996,29.127013125248276,1,0.0,1,1,0,False,False,False,55097+CTG3,,,,,,,,,,,,
162,Lamar Power Project,55097_G_CTG4,55097,G,CTG4,3882.0,Combined Cycle,,ERC_REST,Texas,48.0,Lamar,277.0,48277.0,158.2,7466.0,2000.0,9999,,,N,Natural Gas,,,,DLNB,,,,,,,,,,0.03225,0.03225,0.03225,0.03225,,,,,,,,,,,,Natural Gas,55097.0,33.6308,-95.59,,,,,,,3.419101677638398,117.0,4.0,50.307599999999994,16150.609159626498,63.28,0.0,13170.0,3.5999999999999996,29.127013125248276,1,0.0,1,1,0,False,False,False,55097+CTG4,,,,,,,,,,,,
163,Lamar Power Project,55097_G_STG1,55097,G,STG1,,Combined Cycle,,ERC_REST,Texas,48.0,Lamar,277.0,48277.0,200.6,7466.0,2000.0,9999,,,N,Natural Gas,,,,DLNB,,,,,,,,,,0.03437,0.03437,0.03437,0.03437,,,,,,,,,,,,Natural Gas,55097.0,33.6308,-95.59,,,,,,,3.419101677638398,117.0,4.0,63.7908,20479.217429968874,80.24000000000001,0.0,13170.0,3.5999999999999996,29.127013125248276,1,0.0,1,1,0,False,False,False,55097+STG1,,,,,,,,,,,,
164,Lamar Power Project,55097_G_STG2,55097,G,STG2,,Combined Cycle,,ERC_REST,Texas,48.0,Lamar,277.0,48277.0,200.6,7466.0,2000.0,9999,,,N,Natural Gas,,,,DLNB,,,,,,,,,,0.03225,0.03225,0.03225,0.03225,,,,,,,,,,,,Natural Gas,55097.0,33.6308,-95.59,,,,,,,3.419101677638398,117.0,4.0,63.7908,20479.217429968874,80.24000000000001,0.0,13170.0,3.5999999999999996,29.127013125248276,1,0.0,1,1,0,False,False,False,55097+STG2,,,,,,,,,,,,
165,Magic Valley Generating Station,55123_G_CTG1,55123,G,CTG1,3951.0,Combined Cycle,,ERC_REST,Texas,48.0,Hidalgo,215.0,48215.0,221.0,7318.0,2002.0,9999,,,N,Natural Gas,,,,,SCR,2000.0,,,,,,,,0.01572,0.01572,0.01572,0.01572,,,,,,,,,,,,Natural Gas,55123.0,26.3403,-98.19,,,,,,,3.419101677638398,117.0,4.0,70.278,22561.849710982657,88.4,0.0,13170.0,3.5999999999999996,28.62098607695779,1,0.0,1,1,0,False,False,False,55123+CTG1,,,,,,,,,,,,
166,Magic Valley Generating Station,55123_G_CTG2,55123,G,CTG2,3952.0,Combined Cycle,,ERC_REST,Texas,48.0,Hidalgo,215.0,48215.0,221.0,7318.0,2002.0,9999,,,N,Natural Gas,,,,,SCR,2000.0,,,,,,,,0.01572,0.01572,0.01572,0.01572,,,,,,,,,,,,Natural Gas,55123.0,26.3403,-98.19,,,,,,,3.419101677638398,117.0,4.0,70.278,22561.849710982657,88.4,0.0,13170.0,3.5999999999999996,28.62098607695779,1,0.0,1,1,0,False,False,False,55123+CTG2,,,,,,,,,,,,
167,Magic Valley Generating Station,55123_G_STG,55123,G,STG,,Combined Cycle,,ERC_REST,Texas,48.0,Hidalgo,215.0,48215.0,240.0,7318.0,2002.0,9999,,,N,Natural Gas,,,,,SCR,2000.0,,,,,,,,0.01572,0.01572,0.01572,0.01572,,,,,,,,,,,,Natural Gas,55123.0,26.3403,-98.19,,,,,,,3.419101677638398,117.0,4.0,76.32000000000001,24501.556247220986,96.0,0.0,13170.0,3.5999999999999996,28.62098607695779,1,0.0,1,1,0,False,False,False,55123+STG,,,,,,,,,,,,
168,Tenaska Gateway Generating Station,55132_G_GTG1,55132,G,GTG1,3970.0,Combined Cycle,,ERC_GWAY,Texas,48.0,Rusk,401.0,48401.0,148.0,7348.0,2001.0,9999,,,N,"Natural Gas, Distillate Fuel Oil",,,,DLNB,,,,,,,,,,0.03339,0.03339,0.03339,0.03339,,,,,,,,,,,,Natural Gas,55132.0,32.017826,-94.619743,,,,,,,3.419101677638398,117.0,4.0,47.064,15109.293019119608,59.2,0.0,13170.0,3.5999999999999996,28.723559127286947,1,0.0,1,1,0,False,False,False,55132+GTG1,,,,,,,,,,,,
169,Tenaska Gateway Generating Station,55132_G_GTG2,55132,G,GTG2,3971.0,Combined Cycle,,ERC_GWAY,Texas,48.0,Rusk,401.0,48401.0,149.0,7348.0,2001.0,9999,,,N,"Natural Gas, Distillate Fuel Oil",,,,DLNB,,,,,,,,,,0.03339,0.03339,0.03339,0.03339,,,,,,,,,,,,Natural Gas,55132.0,32.017826,-94.619743,,,,,,,3.419101677638398,117.0,4.0,47.382,15211.382836816363,59.6,0.0,13170.0,3.5999999999999996,28.723559127286947,1,0.0,1,1,0,False,False,False,55132+GTG2,,,,,,,,,,,,
170,Tenaska Gateway Generating Station,55132_G_GTG3,55132,G,GTG3,3972.0,Combined Cycle,,ERC_GWAY,Texas,48.0,Rusk,401.0,48401.0,150.0,7348.0,2001.0,9999,,,N,"Natural Gas, Distillate Fuel Oil",,,,DLNB,,,,,,,,,,0.03339,0.03339,0.03339,0.03339,,,,,,,,,,,,Natural Gas,55132.0,32.017826,-94.619743,,,,,,,3.419101677638398,117.0,4.0,47.7,15313.472654513116,60.0,0.0,13170.0,3.5999999999999996,28.723559127286947,1,0.0,1,1,0,False,False,False,55132+GTG3,,,,,,,,,,,,
